number,value,datetime_start,datetime_complete,duration,params_lambda_A,params_lambda_B,params_lambda_C,params_non_negative,params_rank,user_attrs_explained_variance,user_attrs_final_loss,user_attrs_sparsity_A,user_attrs_sparsity_B,user_attrs_sparsity_C,state
80,14.366274363446834,2025-10-15 14:50:21.516258,2025-10-15 14:50:21.807878,0 days 00:00:00.291620,0.042057896376429385,0.3028040815760118,0.0004927029354670193,True,26,0.04941156456771123,2985172.7218151297,0.7692307692307693,0.7692307692307693,0.7692307692307693,COMPLETE
81,7.702411290712876,2025-10-15 14:50:21.808861,2025-10-15 14:50:22.120944,0 days 00:00:00.312083,0.0010935490191139527,0.7752882360303991,0.1615221981850723,True,28,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
82,7.702411290712876,2025-10-15 14:50:22.121800,2025-10-15 14:50:22.553891,0 days 00:00:00.432091,0.0008765424797641972,0.6442067905338374,0.33613658026806575,True,30,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
83,7.702411290712876,2025-10-15 14:50:22.554904,2025-10-15 14:50:22.879249,0 days 00:00:00.324345,0.0005001692734654153,0.9927996049673214,0.72743611174937,True,29,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
84,14.070882233802486,2025-10-15 14:50:22.880240,2025-10-15 14:50:23.282430,0 days 00:00:00.402190,0.0002911864727091217,0.4735026543908035,0.14476478145613322,True,28,0.03562049014876045,3028472.9471961833,0.7857142857142857,0.7857142857142857,0.7857142857142857,COMPLETE
85,7.702411290712876,2025-10-15 14:50:23.283402,2025-10-15 14:50:23.605362,0 days 00:00:00.321960,0.001252971421324456,0.5901916555236231,0.01043457001669746,True,29,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
86,19.616375858762346,2025-10-15 14:50:23.606337,2025-10-15 14:50:24.038237,0 days 00:00:00.431900,0.0099869267603346,0.39529748670369264,0.5002682365106321,True,30,0.07570594317372026,2902688.8775815167,0.6333333333333333,0.6333333333333333,0.6333333333333333,COMPLETE
87,7.702411290712876,2025-10-15 14:50:24.039238,2025-10-15 14:50:24.429030,0 days 00:00:00.389792,0.002090721593835961,0.7984899767324513,0.054377972391540935,False,27,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
88,14.4071153194797,2025-10-15 14:50:24.430044,2025-10-15 14:50:24.722529,0 days 00:00:00.292485,0.003464074934463693,0.27806734931552274,0.0012517500026353228,True,26,0.051077272608749946,2979920.5329345292,0.7692307692307693,0.7692307692307693,0.7692307692307693,COMPLETE
89,15.592048468109,2025-10-15 14:50:24.723511,2025-10-15 14:50:25.142263,0 days 00:00:00.418752,0.026412565821738447,0.21677956747590799,0.09377005702439416,True,29,0.0626685209618717,2943550.0331986607,0.7586206896551724,0.7586206896551724,0.7586206896551724,COMPLETE
90,7.702411290712876,2025-10-15 14:50:25.143238,2025-10-15 14:50:25.434176,0 days 00:00:00.290938,0.0008016365396662871,0.811341733881362,0.18713778689838095,True,25,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
91,18.992804982151714,2025-10-15 14:50:25.435147,2025-10-15 14:50:25.964352,0 days 00:00:00.529205,0.016003528709477955,0.5444384031724905,0.03640258529267616,True,30,0.04683490225779041,2993268.7300799503,0.6333333333333333,0.6333333333333333,0.6333333333333333,COMPLETE
92,7.702411290712876,2025-10-15 14:50:25.965345,2025-10-15 14:50:26.367282,0 days 00:00:00.401937,0.0056218209168558755,0.6366110826933181,0.0632980719116021,True,28,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
93,12.02210808803982,2025-10-15 14:50:26.368250,2025-10-15 14:50:26.757641,0 days 00:00:00.389391,0.0005068952575351023,0.4160601423928182,0.2888571735494726,True,27,0.027264789198421457,3054717.339619021,0.8518518518518519,0.8518518518518519,0.8518518518518519,COMPLETE
94,7.702411290712876,2025-10-15 14:50:26.758639,2025-10-15 14:50:27.176024,0 days 00:00:00.417385,0.00814758013913939,0.8435594946569757,0.00013978122483368087,True,29,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
95,7.702411290712876,2025-10-15 14:50:27.177030,2025-10-15 14:50:27.580201,0 days 00:00:00.403171,0.01235337242848547,0.9854879445406823,0.0018337432308381811,True,28,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
96,7.702411290712876,2025-10-15 14:50:27.581170,2025-10-15 14:50:28.106878,0 days 00:00:00.525708,0.004309557114685113,0.6164066994882925,0.11409480914141784,True,30,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
97,15.405266708083769,2025-10-15 14:50:28.107811,2025-10-15 14:50:28.527021,0 days 00:00:00.419210,0.0015994631526042925,0.3327026145566166,0.4309146009765499,True,29,0.054021888449607314,2970733.1779620135,0.7586206896551724,0.7586206896551724,0.7586206896551724,COMPLETE
98,10.864846727267931,2025-10-15 14:50:28.528016,2025-10-15 14:50:28.821427,0 days 00:00:00.293411,0.0027865119502672887,0.47634398324957056,0.6053103536005864,True,16,0.016885378527336292,3087318.0310650826,0.8125,0.8125,0.8125,COMPLETE
99,7.702411290712876,2025-10-15 14:50:28.822647,2025-10-15 14:50:29.095907,0 days 00:00:00.273260,0.018556489315822426,0.7190810423979014,0.22679695624884716,True,19,0.0,3140314.2646988425,1.0,1.0,1.0,COMPLETE
